0	3	5	7	10	15	20
1	33.33	20.00	14.29	10.00	5.00	3.750
2	44.45	32.00	24.49	18.00	9.50	7.219
3	14.81	19.20	17.49	14.40	8.55	6.677
4	7.41	11.52	12.49	11.52	7.70	6.177
5	0.	11.52	8.93	9.22	6.93	5.713
6	0.	5.76	8.92	7.37	6.23	5.285
7	0. 	0.	8.93	6.55	5.90	4.888
8	0.	0.	4.46	6.55	5.90	4.522
9	0.	0.	0.	6.56	5.91	4.462
10	0.	0.	0.	6.55	5.90	4.461
11	0.	0.	0.	3.28	5.91	4.462
12	0.	0.	0.	0.	5.90	4.461
13	0.	0.	0.	0.	5.91	4.462
14	0.	0.	0.	0.	5.90	4.461
15	0.	0.	0.	0.	5.91	4.462
16	0.	0.	0.	0.	2.95	4.461
17	0.	0.	0.	0.	0.	4.462
18	0.	0.	0.	0.	0.	4.461
19	0.	0.	0.	0.	0.	4.462
20	0.	0.	0.	0.	0.	4.461
21	0.	0.	0.	0.	0.	2.231
