# From the Bureau of Labor Statistics, Average Hourly Earnings of Chemical Manufacturing Workers (Production and Nonsupervisory Employees)  From series CEU3232500008
1992	13.70000
1993	13.97000
1994	14.33000
1995	14.86000
1996	15.37000
1997	15.78000
1998	16.23000
1999	16.40000
2000	17.09000
2001	17.57000
2002	17.97000
2003	18.50000
2004	19.17000
2005	19.67000
2006	19.60000
2007	19.55000
2008	19.50000
2009	20.30000
2010	21.07000
2011	21.45000
2012	21.45000
2013	21.40000
2014	21.48833
2015	21.75500
2016	22.71500
